customer_id,churn_probability,risk_tier
C00001,0.31391385,Medium
C00002,0.0113070505,Low
C00005,0.7389036,High
C00006,0.4401417,Medium
C00007,0.6915631,High
C00008,0.53714484,Medium
C00009,0.016045129,Low
C00011,0.79066056,High
C00012,0.23880306,Low
C00014,0.22267096,Low
C00015,0.9393244,High
C00016,0.2136496,Low
C00017,0.9039369,High
C00018,0.78614956,High
C00019,0.8981148,High
C00021,0.28006437,Low
C00022,0.8444883,High
C00023,0.5324198,Medium
C00024,0.49853897,Medium
C00025,0.7043779,High
C00026,0.3599125,Medium
C00027,0.55392015,Medium
C00028,0.81718266,High
C00029,0.136925,Low
C00030,0.61577725,High
C00031,0.46157587,Medium
C00032,0.7982165,High
C00034,0.3022303,Medium
C00035,0.04747747,Low
C00036,0.2995335,Low
C00038,0.8356472,High
C00039,0.21709594,Low
C00040,0.20475306,Low
C00041,0.018197592,Low
C00042,0.4294644,Medium
C00043,0.44220978,Medium
C00045,0.91366124,High
C00046,0.6159432,High
C00047,0.03535838,Low
C00048,0.7724188,High
C00049,0.74480736,High
C00051,0.79233855,High
C00053,0.37983274,Medium
C00057,0.030389033,Low
C00058,0.25434408,Low
C00059,0.64129615,High
C00060,0.77586776,High
C00061,0.19785804,Low
C00064,0.86705124,High
C00065,0.89669245,High
C00067,0.7306152,High
C00068,0.35335207,Medium
C00069,0.9629285,High
C00070,0.8205513,High
C00071,0.94287586,High
C00072,0.7490583,High
C00073,0.965291,High
C00075,0.09712856,Low
C00076,0.051546894,Low
C00077,0.048194308,Low
C00078,0.5348353,Medium
C00079,0.78819513,High
C00080,0.6744973,High
C00083,0.44389534,Medium
C00084,0.8161373,High
C00085,0.9643856,High
C00086,0.94473326,High
C00087,0.09484512,Low
C00088,0.83622235,High
C00089,0.49067137,Medium
C00090,0.6236465,High
C00091,0.9703686,High
C00092,0.4995147,Medium
C00093,0.037131965,Low
C00094,0.9411499,High
C00095,0.89933246,High
C00096,0.82432777,High
C00097,0.80104584,High
C00098,0.52122045,Medium
C00099,0.058186576,Low
C00100,0.9381669,High
C00103,0.9900141,High
C00104,0.95197797,High
C00105,0.034278102,Low
C00107,0.43619794,Medium
C00108,0.09357456,Low
C00109,0.3019443,Medium
C00113,0.44043177,Medium
C00114,0.22000428,Low
C00115,0.9187088,High
C00116,0.59856856,Medium
C00117,0.8495108,High
C00118,0.3506887,Medium
C00119,0.937579,High
C00121,0.83183014,High
C00122,0.71198654,High
C00123,0.974415,High
C00124,0.95682544,High
C00125,0.8081691,High
C00126,0.7281793,High
C00127,0.880028,High
C00128,0.059763897,Low
C00129,0.116677,Low
C00131,0.027907843,Low
C00132,0.6076903,High
C00133,0.6606571,High
C00134,0.9112662,High
