customer_id,recency,frequency,monetary,avg_order_value,total_items,distinct_categories,first_purchase,last_purchase,tenure_days,R_score,F_score,M_score,RFM_score,cluster,segment
C00001,15,5,5533.18,425.6292307692308,22,5,2025-08-11,2026-06-16,324,5,3,4,12,4,Loyal Customers
C00002,31,21,30355.86,562.1455555555556,97,6,2025-06-30,2026-05-31,366,4,5,5,14,4,Loyal Customers
C00005,56,2,1191.83,297.9575,9,4,2025-12-08,2026-05-06,205,4,1,1,6,0,Promising
C00006,31,4,1424.8799999999999,178.10999999999999,18,4,2025-06-23,2026-05-31,373,4,2,2,8,0,Promising
C00007,216,3,974.63,139.23285714285714,11,3,2024-12-10,2025-11-27,568,2,2,1,5,6,Potential Loyalists
C00008,54,5,2297.04,208.82181818181817,19,4,2026-01-25,2026-05-08,157,4,3,2,9,0,Promising
C00009,7,21,34843.18,580.7196666666666,127,6,2024-12-20,2026-06-24,558,5,5,5,15,5,Champions
C00011,200,4,304.59,38.07375,11,5,2024-07-08,2025-12-13,723,2,2,1,5,3,Hibernating
C00012,32,7,5892.62,256.2008695652174,42,6,2024-12-03,2026-05-30,575,4,4,4,12,6,Potential Loyalists
C00014,15,5,7622.210000000001,448.3652941176471,33,6,2025-11-18,2026-06-16,225,5,3,4,12,4,Loyal Customers
C00015,327,1,97.68,97.68,1,1,2025-08-08,2025-08-08,327,1,1,1,3,3,Hibernating
C00016,110,14,13704.81,360.6528947368421,69,6,2024-07-06,2026-03-13,725,3,5,5,13,5,Champions
C00017,192,3,138.91,46.303333333333335,7,3,2025-04-27,2025-12-21,430,2,2,1,5,3,Hibernating
C00018,224,6,2965.56,164.75333333333333,38,6,2025-01-03,2025-11-19,544,2,3,3,8,6,Potential Loyalists
C00019,304,4,2330.2200000000003,233.02200000000002,22,4,2024-11-29,2025-08-31,579,1,2,2,5,1,Needs Attention
C00021,48,7,2917.25,162.06944444444446,40,6,2024-08-29,2026-05-14,671,4,4,3,11,6,Potential Loyalists
C00022,255,3,1882.87,171.17,21,6,2025-05-20,2025-10-19,407,2,2,2,6,0,Promising
C00023,77,3,1437.3799999999999,179.67249999999999,13,4,2025-03-18,2026-04-15,470,3,2,2,7,6,Potential Loyalists
