customer_id,signup_date,age,city_tier,acquisition_channel
C00001,2025-06-26,47,Tier1,Referral
C00002,2025-06-21,48,Tier2,Social
C00003,2025-09-27,37,Tier3,Social
C00004,2024-01-04,47,Tier1,Referral
C00005,2025-06-07,28,Tier2,Referral
C00006,2025-06-18,43,Tier1,Referral
C00007,2024-05-07,29,Tier1,Paid Ads
C00008,2025-05-04,28,Tier3,Organic
C00009,2024-12-05,67,Tier2,Organic
C00010,2024-02-10,30,Tier2,Social
C00011,2024-06-11,34,Tier1,Referral
C00012,2024-10-27,47,Tier1,Organic
C00013,2025-06-13,31,Tier3,Referral
C00014,2025-08-21,52,Tier3,Social
C00015,2025-01-01,25,Tier3,Organic
C00016,2024-05-08,38,Tier1,Referral
C00017,2025-02-28,21,Tier1,Paid Ads
C00018,2024-09-07,56,Tier2,Social
C00019,2024-10-22,40,Tier2,Organic
C00020,2024-05-28,19,Tier2,Social
C00021,2024-05-26,23,Tier3,Referral
C00022,2025-04-10,69,Tier3,Organic
C00023,2024-11-11,44,Tier3,Paid Ads
C00024,2025-04-24,44,Tier2,Paid Ads
C00025,2024-05-10,22,Tier3,Organic
C00026,2024-03-06,64,Tier3,Social
C00027,2025-01-20,25,Tier1,Referral
C00028,2024-09-17,44,Tier2,Referral
C00029,2024-12-26,44,Tier1,Referral
C00030,2025-09-03,23,Tier2,Referral
C00031,2024-07-02,43,Tier2,Paid Ads
C00032,2024-03-05,57,Tier3,Social
C00033,2024-03-06,22,Tier3,Social
C00034,2025-02-19,48,Tier2,Paid Ads
C00035,2024-02-19,58,Tier3,Referral
C00036,2024-03-19,43,Tier3,Paid Ads
C00037,2025-06-18,68,Tier2,Organic
C00038,2024-08-29,27,Tier3,Organic
C00039,2025-01-19,69,Tier2,Referral
C00040,2025-08-11,44,Tier2,Organic
C00041,2025-01-09,68,Tier1,Organic
C00042,2024-11-13,41,Tier1,Organic
C00043,2025-01-05,45,Tier1,Organic
C00044,2024-04-23,66,Tier2,Paid Ads
C00045,2024-02-24,66,Tier1,Social
C00046,2024-02-12,36,Tier1,Paid Ads
C00047,2024-05-01,47,Tier3,Referral
C00048,2024-02-11,64,Tier2,Paid Ads
C00049,2024-10-08,55,Tier3,Social
C00050,2024-04-26,56,Tier3,Paid Ads
C00051,2024-06-21,50,Tier1,Social
C00052,2025-06-19,25,Tier1,Referral
C00053,2024-06-10,25,Tier1,Referral
C00054,2024-12-29,45,Tier1,Paid Ads
C00055,2025-05-28,49,Tier3,Referral
C00056,2025-09-05,38,Tier2,Referral
C00057,2025-07-25,24,Tier2,Organic
C00058,2024-01-17,53,Tier2,Paid Ads
C00059,2025-07-23,37,Tier1,Referral
C00060,2024-08-30,29,Tier3,Organic
C00061,2024-09-18,51,Tier3,Referral
C00062,2025-08-27,41,Tier1,Paid Ads
C00063,2024-11-06,49,Tier2,Referral
C00064,2024-11-22,19,Tier2,Referral
C00065,2024-05-19,63,Tier3,Paid Ads
C00066,2025-07-28,54,Tier1,Paid Ads
C00067,2024-12-03,58,Tier1,Organic
C00068,2024-09-15,29,Tier1,Paid Ads
C00069,2024-03-30,48,Tier3,Social
C00070,2024-06-08,24,Tier2,Organic
C00071,2024-09-24,63,Tier1,Social
C00072,2025-09-03,53,Tier3,Organic
C00073,2024-09-05,53,Tier2,Referral
C00074,2025-01-24,64,Tier3,Paid Ads
C00075,2025-04-12,53,Tier2,Referral
C00076,2025-01-14,62,Tier1,Organic
C00077,2025-05-06,26,Tier1,Organic
C00078,2024-11-11,59,Tier2,Referral
C00079,2025-06-06,61,Tier3,Paid Ads
C00080,2025-01-11,61,Tier3,Organic
C00081,2024-03-28,66,Tier1,Paid Ads
C00082,2025-09-03,48,Tier3,Referral
C00083,2025-04-06,25,Tier1,Organic
C00084,2025-02-16,58,Tier3,Referral
C00085,2024-01-29,34,Tier1,Organic
C00086,2024-10-28,32,Tier2,Organic
C00087,2024-05-02,40,Tier3,Referral
C00088,2025-07-03,35,Tier2,Referral
C00089,2024-01-24,52,Tier2,Organic
C00090,2024-02-19,57,Tier2,Referral
C00091,2024-02-11,66,Tier2,Paid Ads
C00092,2024-07-22,33,Tier2,Social
C00093,2024-05-28,59,Tier3,Referral
C00094,2025-07-11,49,Tier3,Referral
C00095,2025-09-28,66,Tier2,Organic
C00096,2024-11-01,61,Tier3,Paid Ads
C00097,2024-02-28,37,Tier2,Paid Ads
C00098,2024-01-03,47,Tier3,Paid Ads
C00099,2024-05-28,18,Tier3,Referral
C00100,2024-09-29,41,Tier1,Referral
C00101,2025-08-28,60,Tier2,Referral
C00102,2025-07-14,28,Tier3,Paid Ads
C00103,2024-04-16,25,Tier3,Referral
C00104,2024-05-27,63,Tier1,Paid Ads
C00105,2024-09-01,20,Tier3,Organic
C00106,2024-02-06,66,Tier2,Social
C00107,2025-09-26,59,Tier2,Paid Ads
C00108,2025-03-19,49,Tier2,Organic
C00109,2024-05-22,26,Tier3,Organic
C00110,2024-02-28,20,Tier1,Organic
C00111,2025-07-20,29,Tier1,Referral
C00112,2025-02-21,51,Tier2,Referral
C00113,2024-01-04,65,Tier2,Paid Ads
C00114,2025-09-05,45,Tier1,Organic
C00115,2024-02-09,46,Tier3,Referral
C00116,2024-08-09,44,Tier3,Organic
C00117,2025-07-14,57,Tier1,Referral
C00118,2025-07-07,60,Tier1,Organic
C00119,2025-03-09,55,Tier1,Organic
C00120,2025-07-15,68,Tier3,Paid Ads
C00121,2024-03-23,47,Tier3,Paid Ads
C00122,2025-06-05,46,Tier1,Paid Ads
C00123,2024-07-02,66,Tier2,Social
C00124,2024-06-14,41,Tier3,Social
C00125,2024-03-09,27,Tier2,Paid Ads
C00126,2024-08-06,47,Tier3,Paid Ads
C00127,2025-08-20,67,Tier3,Social
C00128,2025-03-27,27,Tier2,Paid Ads
C00129,2025-01-30,67,Tier3,Referral
C00130,2025-09-09,52,Tier2,Social
C00131,2024-01-16,23,Tier1,Social
C00132,2025-05-06,43,Tier1,Paid Ads
C00133,2025-09-27,30,Tier3,Referral
C00134,2025-05-21,69,Tier3,Referral
C00135,2025-03-09,44,Tier3,Paid Ads
C00136,2024-04-06,38,Tier3,Organic
C00137,2025-02-11,22,Tier3,Organic
C00138,2024-07-23,51,Tier1,Social
C00139,2025-07-07,35,Tier3,Social
C00140,2024-12-12,42,Tier3,Organic
C00141,2024-04-07,67,Tier3,Referral
C00142,2025-05-23,41,Tier3,Referral
