date,product_id,category,units_sold
2024-01-01,P0001,Home & Kitchen,10
2024-01-02,P0001,Home & Kitchen,22
2024-01-03,P0001,Home & Kitchen,19
2024-01-04,P0001,Home & Kitchen,18
2024-01-05,P0001,Home & Kitchen,13
2024-01-06,P0001,Home & Kitchen,11
2024-01-07,P0001,Home & Kitchen,3
2024-01-08,P0001,Home & Kitchen,14
2024-01-09,P0001,Home & Kitchen,19
2024-01-10,P0001,Home & Kitchen,19
2024-01-11,P0001,Home & Kitchen,15
2024-01-12,P0001,Home & Kitchen,10
2024-01-13,P0001,Home & Kitchen,6
2024-01-14,P0001,Home & Kitchen,13
2024-01-15,P0001,Home & Kitchen,15
2024-01-16,P0001,Home & Kitchen,15
2024-01-17,P0001,Home & Kitchen,22
2024-01-18,P0001,Home & Kitchen,16
2024-01-19,P0001,Home & Kitchen,14
2024-01-20,P0001,Home & Kitchen,9
2024-01-21,P0001,Home & Kitchen,9
2024-01-22,P0001,Home & Kitchen,17
2024-01-23,P0001,Home & Kitchen,18
2024-01-24,P0001,Home & Kitchen,13
2024-01-25,P0001,Home & Kitchen,16
2024-01-26,P0001,Home & Kitchen,11
2024-01-27,P0001,Home & Kitchen,11
2024-01-28,P0001,Home & Kitchen,14
2024-01-29,P0001,Home & Kitchen,12
2024-01-30,P0001,Home & Kitchen,13
2024-01-31,P0001,Home & Kitchen,13
2024-02-01,P0001,Home & Kitchen,11
2024-02-02,P0001,Home & Kitchen,9
2024-02-03,P0001,Home & Kitchen,10
2024-02-04,P0001,Home & Kitchen,10
2024-02-05,P0001,Home & Kitchen,12
2024-02-06,P0001,Home & Kitchen,20
2024-02-07,P0001,Home & Kitchen,17
2024-02-08,P0001,Home & Kitchen,15
2024-02-09,P0001,Home & Kitchen,10
2024-02-10,P0001,Home & Kitchen,15
2024-02-11,P0001,Home & Kitchen,10
2024-02-12,P0001,Home & Kitchen,11
2024-02-13,P0001,Home & Kitchen,16
2024-02-14,P0001,Home & Kitchen,9
2024-02-15,P0001,Home & Kitchen,9
2024-02-16,P0001,Home & Kitchen,14
2024-02-17,P0001,Home & Kitchen,10
2024-02-18,P0001,Home & Kitchen,6
2024-02-19,P0001,Home & Kitchen,16
2024-02-20,P0001,Home & Kitchen,18
2024-02-21,P0001,Home & Kitchen,18
2024-02-22,P0001,Home & Kitchen,25
2024-02-23,P0001,Home & Kitchen,15
2024-02-24,P0001,Home & Kitchen,7
2024-02-25,P0001,Home & Kitchen,14
2024-02-26,P0001,Home & Kitchen,16
2024-02-27,P0001,Home & Kitchen,16
2024-02-28,P0001,Home & Kitchen,21
2024-02-29,P0001,Home & Kitchen,10
2024-03-01,P0001,Home & Kitchen,11
2024-03-02,P0001,Home & Kitchen,11
2024-03-03,P0001,Home & Kitchen,8
2024-03-04,P0001,Home & Kitchen,20
2024-03-05,P0001,Home & Kitchen,16
2024-03-06,P0001,Home & Kitchen,17
2024-03-07,P0001,Home & Kitchen,17
2024-03-08,P0001,Home & Kitchen,13
2024-03-09,P0001,Home & Kitchen,13
2024-03-10,P0001,Home & Kitchen,14
2024-03-11,P0001,Home & Kitchen,11
2024-03-12,P0001,Home & Kitchen,20
2024-03-13,P0001,Home & Kitchen,18
2024-03-14,P0001,Home & Kitchen,17
2024-03-15,P0001,Home & Kitchen,13
2024-03-16,P0001,Home & Kitchen,5
2024-03-17,P0001,Home & Kitchen,9
2024-03-18,P0001,Home & Kitchen,16
2024-03-19,P0001,Home & Kitchen,23
2024-03-20,P0001,Home & Kitchen,20
2024-03-21,P0001,Home & Kitchen,12
2024-03-22,P0001,Home & Kitchen,14
2024-03-23,P0001,Home & Kitchen,6
2024-03-24,P0001,Home & Kitchen,8
2024-03-25,P0001,Home & Kitchen,20
2024-03-26,P0001,Home & Kitchen,21
2024-03-27,P0001,Home & Kitchen,27
2024-03-28,P0001,Home & Kitchen,25
2024-03-29,P0001,Home & Kitchen,17
2024-03-30,P0001,Home & Kitchen,16
2024-03-31,P0001,Home & Kitchen,11
2024-04-01,P0001,Home & Kitchen,19
2024-04-02,P0001,Home & Kitchen,24
2024-04-03,P0001,Home & Kitchen,20
2024-04-04,P0001,Home & Kitchen,24
2024-04-05,P0001,Home & Kitchen,26
2024-04-06,P0001,Home & Kitchen,13
2024-04-07,P0001,Home & Kitchen,19
2024-04-08,P0001,Home & Kitchen,25
2024-04-09,P0001,Home & Kitchen,22
2024-04-10,P0001,Home & Kitchen,19
2024-04-11,P0001,Home & Kitchen,20
2024-04-12,P0001,Home & Kitchen,17
2024-04-13,P0001,Home & Kitchen,12
2024-04-14,P0001,Home & Kitchen,18
2024-04-15,P0001,Home & Kitchen,24
2024-04-16,P0001,Home & Kitchen,21
2024-04-17,P0001,Home & Kitchen,26
2024-04-18,P0001,Home & Kitchen,25
2024-04-19,P0001,Home & Kitchen,25
2024-04-20,P0001,Home & Kitchen,13
2024-04-21,P0001,Home & Kitchen,17
2024-04-22,P0001,Home & Kitchen,21
2024-04-23,P0001,Home & Kitchen,25
2024-04-24,P0001,Home & Kitchen,30
2024-04-25,P0001,Home & Kitchen,18
2024-04-26,P0001,Home & Kitchen,19
2024-04-27,P0001,Home & Kitchen,19
2024-04-28,P0001,Home & Kitchen,18
2024-04-29,P0001,Home & Kitchen,20
2024-04-30,P0001,Home & Kitchen,24
2024-05-01,P0001,Home & Kitchen,30
2024-05-02,P0001,Home & Kitchen,22
2024-05-03,P0001,Home & Kitchen,20
2024-05-04,P0001,Home & Kitchen,21
2024-05-05,P0001,Home & Kitchen,18
2024-05-06,P0001,Home & Kitchen,24
2024-05-07,P0001,Home & Kitchen,29
2024-05-08,P0001,Home & Kitchen,29
2024-05-09,P0001,Home & Kitchen,30
2024-05-10,P0001,Home & Kitchen,22
2024-05-11,P0001,Home & Kitchen,20
2024-05-12,P0001,Home & Kitchen,24
2024-05-13,P0001,Home & Kitchen,21
2024-05-14,P0001,Home & Kitchen,32
2024-05-15,P0001,Home & Kitchen,29
2024-05-16,P0001,Home & Kitchen,21
2024-05-17,P0001,Home & Kitchen,25
2024-05-18,P0001,Home & Kitchen,19
2024-05-19,P0001,Home & Kitchen,21
2024-05-20,P0001,Home & Kitchen,28
2024-05-21,P0001,Home & Kitchen,37
2024-05-22,P0001,Home & Kitchen,36
2024-05-23,P0001,Home & Kitchen,29
2024-05-24,P0001,Home & Kitchen,16
2024-05-25,P0001,Home & Kitchen,22
2024-05-26,P0001,Home & Kitchen,26
2024-05-27,P0001,Home & Kitchen,28
2024-05-28,P0001,Home & Kitchen,31
2024-05-29,P0001,Home & Kitchen,28
2024-05-30,P0001,Home & Kitchen,26
2024-05-31,P0001,Home & Kitchen,28
2024-06-01,P0001,Home & Kitchen,26
2024-06-02,P0001,Home & Kitchen,25
2024-06-03,P0001,Home & Kitchen,23
2024-06-04,P0001,Home & Kitchen,33
2024-06-05,P0001,Home & Kitchen,34
2024-06-06,P0001,Home & Kitchen,27
2024-06-07,P0001,Home & Kitchen,22
2024-06-08,P0001,Home & Kitchen,20
2024-06-09,P0001,Home & Kitchen,23
2024-06-10,P0001,Home & Kitchen,28
2024-06-11,P0001,Home & Kitchen,34
2024-06-12,P0001,Home & Kitchen,34
2024-06-13,P0001,Home & Kitchen,32
2024-06-14,P0001,Home & Kitchen,24
2024-06-15,P0001,Home & Kitchen,25
2024-06-16,P0001,Home & Kitchen,22
2024-06-17,P0001,Home & Kitchen,26
2024-06-18,P0001,Home & Kitchen,40
2024-06-19,P0001,Home & Kitchen,32
2024-06-20,P0001,Home & Kitchen,28
2024-06-21,P0001,Home & Kitchen,28
2024-06-22,P0001,Home & Kitchen,18
2024-06-23,P0001,Home & Kitchen,23
2024-06-24,P0001,Home & Kitchen,26
2024-06-25,P0001,Home & Kitchen,37
2024-06-26,P0001,Home & Kitchen,38
2024-06-27,P0001,Home & Kitchen,28
2024-06-28,P0001,Home & Kitchen,28
2024-06-29,P0001,Home & Kitchen,24
2024-06-30,P0001,Home & Kitchen,26
2024-07-01,P0001,Home & Kitchen,31
2024-07-02,P0001,Home & Kitchen,38
2024-07-03,P0001,Home & Kitchen,33
2024-07-04,P0001,Home & Kitchen,34
2024-07-05,P0001,Home & Kitchen,30
2024-07-06,P0001,Home & Kitchen,17
2024-07-07,P0001,Home & Kitchen,28
2024-07-08,P0001,Home & Kitchen,30
2024-07-09,P0001,Home & Kitchen,39
2024-07-10,P0001,Home & Kitchen,42
2024-07-11,P0001,Home & Kitchen,37
2024-07-12,P0001,Home & Kitchen,30
2024-07-13,P0001,Home & Kitchen,19
2024-07-14,P0001,Home & Kitchen,19
2024-07-15,P0001,Home & Kitchen,31
2024-07-16,P0001,Home & Kitchen,36
2024-07-17,P0001,Home & Kitchen,40
2024-07-18,P0001,Home & Kitchen,33
2024-07-19,P0001,Home & Kitchen,28
2024-07-20,P0001,Home & Kitchen,27
2024-07-21,P0001,Home & Kitchen,26
2024-07-22,P0001,Home & Kitchen,26
2024-07-23,P0001,Home & Kitchen,42
2024-07-24,P0001,Home & Kitchen,34
2024-07-25,P0001,Home & Kitchen,37
2024-07-26,P0001,Home & Kitchen,22
2024-07-27,P0001,Home & Kitchen,23
2024-07-28,P0001,Home & Kitchen,25
2024-07-29,P0001,Home & Kitchen,28
2024-07-30,P0001,Home & Kitchen,38
2024-07-31,P0001,Home & Kitchen,40
2024-08-01,P0001,Home & Kitchen,34
2024-08-02,P0001,Home & Kitchen,31
2024-08-03,P0001,Home & Kitchen,18
2024-08-04,P0001,Home & Kitchen,29
2024-08-05,P0001,Home & Kitchen,29
2024-08-06,P0001,Home & Kitchen,40
2024-08-07,P0001,Home & Kitchen,35
2024-08-08,P0001,Home & Kitchen,30
2024-08-09,P0001,Home & Kitchen,25
2024-08-10,P0001,Home & Kitchen,24
2024-08-11,P0001,Home & Kitchen,22
2024-08-12,P0001,Home & Kitchen,35
2024-08-13,P0001,Home & Kitchen,35
2024-08-14,P0001,Home & Kitchen,37
2024-08-15,P0001,Home & Kitchen,32
2024-08-16,P0001,Home & Kitchen,33
2024-08-17,P0001,Home & Kitchen,23
2024-08-18,P0001,Home & Kitchen,19
2024-08-19,P0001,Home & Kitchen,29
2024-08-20,P0001,Home & Kitchen,33
2024-08-21,P0001,Home & Kitchen,35
2024-08-22,P0001,Home & Kitchen,32
2024-08-23,P0001,Home & Kitchen,19
2024-08-24,P0001,Home & Kitchen,24
2024-08-25,P0001,Home & Kitchen,30
2024-08-26,P0001,Home & Kitchen,28
2024-08-27,P0001,Home & Kitchen,37
2024-08-28,P0001,Home & Kitchen,41
2024-08-29,P0001,Home & Kitchen,31
