order_id,customer_id,product_id,category,order_date,quantity,unit_price,revenue
O0000001,C00001,P0036,Electronics,2025-08-11,1,776.18,776.18
O0000001,C00001,P0060,Apparel,2025-08-11,2,137.85,275.71
O0000002,C00001,P0057,Sports,2026-02-10,2,62.74,125.48
O0000003,C00001,P0014,Apparel,2026-04-16,1,18.43,18.43
O0000003,C00001,P0045,Home & Kitchen,2026-04-16,3,133.8,401.4
O0000003,C00001,P0014,Apparel,2026-04-16,2,18.91,37.83
O0000003,C00001,P0008,Electronics,2026-04-16,3,892.17,2676.51
O0000004,C00001,P0014,Apparel,2026-05-04,1,17.74,17.74
O0000004,C00001,P0058,Beauty,2026-05-04,1,79.26,79.26
O0000005,C00001,P0016,Apparel,2026-06-16,1,14.61,14.61
O0000005,C00001,P0042,Home & Kitchen,2026-06-16,2,251.85,503.71
O0000005,C00001,P0021,Sports,2026-06-16,1,219.34,219.34
O0000005,C00001,P0010,Home & Kitchen,2026-06-16,2,193.49,386.98
O0000006,C00002,P0048,Apparel,2025-06-30,3,20.36,61.08
O0000007,C00002,P0044,Electronics,2025-07-22,2,774.6,1549.21
O0000007,C00002,P0003,Home & Kitchen,2025-07-22,3,106.59,319.76
O0000008,C00002,P0020,Beauty,2025-08-07,2,113.54,227.08
O0000009,C00002,P0004,Home & Kitchen,2025-09-12,2,32.64,65.27
O0000009,C00002,P0029,Home & Kitchen,2025-09-12,2,55.18,110.36
O0000009,C00002,P0059,Electronics,2025-09-12,1,1242.58,1242.58
O0000010,C00002,P0033,Electronics,2025-09-15,3,1138.45,3415.36
O0000010,C00002,P0015,Apparel,2025-09-15,2,148.81,297.63
O0000010,C00002,P0045,Home & Kitchen,2025-09-15,1,183.1,183.1
O0000011,C00002,P0045,Home & Kitchen,2025-09-22,1,186.98,186.98
O0000011,C00002,P0051,Electronics,2025-09-22,1,252.7,252.7
O0000011,C00002,P0059,Electronics,2025-09-22,1,1119.85,1119.85
O0000011,C00002,P0050,Home & Kitchen,2025-09-22,2,187.39,374.78
O0000012,C00002,P0059,Electronics,2025-10-12,2,1227.92,2455.84
O0000013,C00002,P0026,Electronics,2025-10-17,3,162.1,486.29
O0000013,C00002,P0007,Electronics,2025-10-17,2,1291.91,2583.82
O0000014,C00002,P0048,Apparel,2025-11-02,2,22.75,45.5
O0000014,C00002,P0012,Electronics,2025-11-02,2,328.32,656.64
O0000014,C00002,P0047,Sports,2025-11-02,3,489.4,1468.21
O0000014,C00002,P0008,Electronics,2025-11-02,1,1237.28,1237.28
O0000015,C00002,P0043,Sports,2025-12-03,1,37.51,37.51
O0000015,C00002,P0026,Electronics,2025-12-03,1,152.07,152.07
O0000016,C00002,P0048,Apparel,2025-12-25,3,21.95,65.84
O0000016,C00002,P0015,Apparel,2025-12-25,2,164.26,328.52
O0000017,C00002,P0019,Apparel,2026-01-27,1,120.41,120.41
O0000017,C00002,P0034,Grocery,2026-01-27,1,20.22,20.22
O0000017,C00002,P0049,Beauty,2026-01-27,1,37.49,37.49
O0000017,C00002,P0014,Apparel,2026-01-27,2,23.56,47.12
O0000018,C00002,P0031,Sports,2026-02-13,1,22.44,22.44
O0000018,C00002,P0043,Sports,2026-02-13,2,34.05,68.1
O0000018,C00002,P0007,Electronics,2026-02-13,2,1359.43,2718.87
O0000019,C00002,P0026,Electronics,2026-03-10,1,178.22,178.22
O0000019,C00002,P0023,Beauty,2026-03-10,1,115.68,115.68
O0000020,C00002,P0009,Apparel,2026-04-12,1,158.84,158.84
O0000020,C00002,P0003,Home & Kitchen,2026-04-12,2,100.23,200.46
O0000020,C00002,P0014,Apparel,2026-04-12,2,25.67,51.34
